"","log.r","log.Cr"
"1",-12,-78.3337288057886
"2",-11.8787878787879,-78.3337226958969
"3",-11.7575757575758,-78.3337011067217
"4",-11.6363636363636,-78.3336908196204
"5",-11.5151515151515,-78.3336210480455
"6",-11.3939393939394,-78.3325822713457
"7",-11.2727272727273,-78.3324552318377
"8",-11.1515151515152,-78.331771958956
"9",-11.030303030303,-78.3315967364955
"10",-10.9090909090909,-78.3312276243212
"11",-10.7878787878788,-78.3309293200336
"12",-10.6666666666667,-78.2525891902623
"13",-10.5454545454545,-72.6990270384167
"14",-10.4242424242424,-72.6990132163044
"15",-10.3030303030303,-72.698577970502
"16",-10.1818181818182,-72.6961563084422
"17",-10.0606060606061,-72.6937295931964
"18",-9.93939393939394,-72.6900927440543
"19",-9.81818181818182,-69.9657918644751
"20",-9.6969696969697,-69.9562551829821
"21",-9.57575757575758,-69.9465170582029
"22",-9.45454545454546,-68.9573333541298
"23",-9.33333333333333,-68.8976237521867
"24",-9.21212121212121,-68.7673695579891
"25",-9.09090909090909,-68.2022208345169
"26",-8.96969696969697,-67.0752688127132
"27",-8.84848484848485,-66.9622517682549
"28",-8.72727272727273,-66.293370795494
"29",-8.60606060606061,-65.780177442223
"30",-8.48484848484848,-65.0048284184053
"31",-8.36363636363636,-64.2666580036762
"32",-8.24242424242424,-63.3073271965006
"33",-8.12121212121212,-62.2856989077791
"34",-8,-61.2632307157898
"35",-7.87878787878788,-60.130057468888
"36",-7.75757575757576,-59.1023848479614
"37",-7.63636363636364,-57.9332985154448
"38",-7.51515151515151,-56.7743207368478
"39",-7.39393939393939,-55.6227302354334
"40",-7.27272727272727,-54.4783073081123
"41",-7.15151515151515,-53.2614084440751
"42",-7.03030303030303,-52.0518522227616
"43",-6.90909090909091,-50.8093203849555
"44",-6.78787878787879,-49.5711260947196
"45",-6.66666666666667,-48.3660262172029
"46",-6.54545454545454,-47.107797756425
"47",-6.42424242424242,-45.8755881404898
"48",-6.3030303030303,-44.6111556126098
"49",-6.18181818181818,-43.3794230328464
"50",-6.06060606060606,-42.1391708611744
"51",-5.93939393939394,-40.8947805245614
"52",-5.81818181818182,-39.6934262629734
"53",-5.6969696969697,-38.5016521866098
"54",-5.57575757575758,-37.3143000772951
"55",-5.45454545454545,-36.0970048095517
"56",-5.33333333333333,-34.8303669993369
"57",-5.21212121212121,-33.5557232757222
"58",-5.09090909090909,-32.2873713449353
"59",-4.96969696969697,-31.0507633269392
"60",-4.84848484848485,-29.8280954791802
"61",-4.72727272727273,-28.5960282135722
"62",-4.60606060606061,-27.3764832709601
"63",-4.48484848484848,-26.2102238483175
"64",-4.36363636363636,-25.1107219468317
"65",-4.24242424242424,-24.0533714408075
"66",-4.12121212121212,-23.0273594211039
"67",-4,-22.0438773288111
"68",-3.87878787878788,-21.0589338971021
"69",-3.75757575757576,-20.0381003184683
"70",-3.63636363636364,-18.9680406067909
"71",-3.51515151515152,-17.9216222449022
"72",-3.39393939393939,-16.8728870941785
"73",-3.27272727272727,-15.7820220524396
"74",-3.15151515151515,-14.6252735067307
"75",-3.03030303030303,-13.4297815450691
"76",-2.90909090909091,-12.2535210397373
"77",-2.78787878787879,-11.1262864111128
"78",-2.66666666666667,-10.0542572799732
"79",-2.54545454545454,-8.97245401921938
"80",-2.42424242424242,-7.88214911726678
"81",-2.3030303030303,-6.90813402381169
"82",-2.18181818181818,-5.98452733804095
"83",-2.06060606060606,-5.17170285705397
"84",-1.93939393939394,-4.34509175680732
"85",-1.81818181818182,-3.58315178475101
"86",-1.6969696969697,-3.02118969190256
"87",-1.57575757575758,-2.53107037585078
"88",-1.45454545454546,-2.08582529854857
"89",-1.33333333333333,-1.7051610684282
"90",-1.21212121212121,-1.3629195200951
"91",-1.09090909090909,-1.0474384494496
"92",-0.969696969696969,-0.787027447586985
"93",-0.848484848484848,-0.549926383459137
"94",-0.727272727272727,-0.341065766421984
"95",-0.606060606060606,-0.18085349992421
"96",-0.484848484848484,-0.0648179934841137
"97",-0.363636363636363,-0.00934333492723837
"98",-0.242424242424242,-0.00102891328326186
"99",-0.121212121212121,-0.000243881185690321
"100",0,-8.53642921684455e-05
