"log.r","log.Cr.2","log.Cr.3","log.Cr.4","log.Cr.5","log.Cr.6","log.Cr.7","log.Cr.8","log.Cr.9","log.Cr.10","log.Cr.11","log.Cr.12","log.Cr.13","log.Cr.14","log.Cr.15","log.Cr.16","log.Cr.17","log.Cr.18","log.Cr.19","log.Cr.20"
-12,-9.4833824077726,-17.6316337835684,-25.084410480104,-32.06079672472,-38.8146175364996,-45.4706916818541,-52.0790758532455,-58.6612238253192,-65.2276101379357,-71.7839725178843,-78.3337288057886,-84.8790336668125,-91.4212967104428,-97.9614624044387,-104.500173368816,-111.037871247289,-117.57486159203,-124.111356768032,-130.647504852157
-11.8787878787879,-9.42643679158417,-17.5778849071456,-25.0530048357244,-32.0479386007051,-38.810100255272,-45.469183476074,-52.0785788088801,-58.6610599080889,-65.227555775587,-71.7839543591798,-78.3337226958969,-84.8790315969952,-91.4212960049863,-97.9614621627165,-104.50017328561,-111.037871218535,-117.57486158206,-124.111356764566,-130.647504850948
-11.7575757575758,-9.37754326289969,-17.5314184548092,-25.0248265667292,-32.0352340700264,-38.8049354416972,-45.4671256284751,-52.0777579356112,-58.6607310347503,-65.227423500828,-71.7839009897654,-78.3337011067217,-84.8790228442145,-91.4212924494594,-97.9614607159001,-104.500172695966,-111.037870977901,-117.57486148374,-124.111356724351,-130.647504834485
-11.6363636363636,-9.33372833565353,-17.4901507062928,-24.9997957439671,-32.0241694500804,-38.8006560157398,-45.4655409457852,-52.0771789734143,-58.6605202711519,-65.2273467349887,-71.7838729499058,-78.3336908196204,-84.8790190494155,-91.4212910408818,-97.9614601895584,-104.500172497925,-111.037870902865,-117.574861455112,-124.111356713355,-130.647504830233
-11.5151515151515,-9.27637757977389,-17.428089862013,-24.9582277591102,-32.0041686308685,-38.7920780505656,-45.4618822423679,-52.0755808679583,-58.6598052425065,-65.2270210423604,-71.7837227962437,-78.3336210480455,-84.8789864645163,-91.4212757736623,-97.9614530214959,-104.50016912804,-111.037869317284,-117.574860708691,-124.111356361866,-130.64750466469
-11.3939393939394,-9.22849973306518,-17.3744085879019,-24.9146536962759,-31.9748704517329,-38.7733794478568,-45.4500606659411,-52.0681654114394,-58.6552018820927,-65.2241936605318,-71.7820024358178,-78.3325822713457,-84.87836301761,-91.4209033417586,-97.9612313350331,-104.500037531503,-111.037791362244,-117.574814603244,-124.11132912666,-130.647488591484
-11.2727272727273,-9.16579949893945,-17.3015281060597,-24.8596455832169,-31.9450106914745,-38.7593900829042,-45.4437543715776,-52.0653236461507,-58.6539102632611,-65.2236013783435,-71.7817288782956,-78.3324552318377,-84.8783037819842,-91.4208756397409,-97.961218352088,-104.500031437423,-111.03778849857,-117.574813256525,-124.111328492987,-130.647488293214
-11.1515151515152,-9.10693112085516,-17.2257354529372,-24.7951174469532,-31.9046835889124,-38.7373094832093,-45.4319035237119,-52.0588486262864,-58.6502937699659,-65.2215469140723,-71.7805483980422,-78.331771958956,-84.8779064475433,-91.4206438814422,-97.9610828960489,-104.499952154688,-111.037742046238,-117.57478601856,-124.111312511969,-130.647478912353
-11.030303030303,-9.04045598228344,-17.1487423287086,-24.7322642612275,-31.8670732748162,-38.7184456632269,-45.4230870528693,-52.0548167245468,-58.6484578082272,-65.2207099798387,-71.7801659443102,-78.3315967364955,-84.8778259731757,-91.420606839068,-97.9610658101365,-104.499944258642,-111.037738390683,-117.574784323393,-124.111311724685,-130.647478546204
-10.9090909090909,-8.97801015594542,-17.0678201512343,-24.6595490498716,-31.8193913914038,-38.6925597961767,-45.4101302374554,-52.0484959735918,-58.6453832663587,-65.2192061021321,-71.7794241789062,-78.3312276243212,-84.8776407461871,-91.4205131769758,-97.9610181288506,-104.499919842921,-111.037725825524,-117.574777829286,-124.111308356155,-130.647476793591
-10.7878787878788,-8.90077958859623,-16.9647134841705,-24.565689203824,-31.7587711641431,-38.6612568013861,-45.3955620152018,-52.0419279348947,-58.6424181020908,-65.2178491122699,-71.7787928565954,-78.3309293200336,-84.8774978988637,-91.4204440063291,-97.9609843241704,-104.499903194325,-111.037717572351,-117.57477371468,-124.111306294511,-130.647475755924
-10.6666666666667,-8.82283676187762,-16.8375301643394,-24.4044265367506,-31.5874694697943,-38.4970350680832,-45.2451712456491,-51.9069728156586,-58.5228460469076,-65.1130332354651,-71.6877909817896,-78.2525891902623,-84.8105492602901,-91.3635827559633,-97.9129389405512,-104.459480121327,-111.003827683882,-117.54644415024,-124.087682083996,-130.627814927745
-10.5454545454545,-8.68095669803783,-16.4623482660645,-23.5220261629435,-30.0281410573773,-36.2808053964738,-42.4330120666015,-48.5364525805634,-54.6087337302972,-60.6572953521944,-66.6863682176542,-72.6990270384167,-78.6978195677786,-84.6849586042738,-90.662378462757,-96.6317547441186,-102.594519565385,-108.551880752796,-114.504845235588,-120.454244557475
-10.4242424242424,-8.562277545178,-16.3150572177139,-23.4244392167972,-29.9879015364358,-36.2672585248782,-42.4286989173058,-48.5350922242305,-54.6083039150757,-60.6571590755365,-66.6863248747121,-72.6990132163044,-78.6978151488295,-84.6849571878321,-90.6623780074239,-96.6317545972763,-102.594519517862,-108.551880737358,-114.504845230553,-120.454244555826
-10.3030303030303,-8.43974559276105,-16.131451249434,-23.2688680024552,-29.9027344736099,-36.2289822092367,-42.4120259625259,-48.5275977260957,-54.6047846740017,-60.6554439370574,-66.6854672749099,-72.698577970502,-78.6975927474112,-84.684843380613,-90.6623198718587,-96.6317250027689,-102.594504515903,-108.551873166053,-114.50484142571,-120.454242651356
-10.1818181818182,-8.35106646777068,-16.0033057300492,-23.1505036921302,-29.8230268227884,-36.1819337000571,-42.3844576896241,-48.5110388862587,-54.5946379360741,-60.6491626180155,-66.6815660262225,-72.6961563084422,-78.6960931416644,-84.683917641998,-90.6617502190955,-96.6313755067919,-102.594290647836,-108.551742578026,-114.504761829259,-120.454194202672
-10.0606060606061,-8.2646209897266,-15.8737115527598,-23.0240083120167,-29.7351838439296,-36.1313202228215,-42.3564148096565,-48.4950354464554,-54.5850934887462,-60.6432536228761,-66.6778106299026,-72.6937295931964,-78.6945095531179,-84.6828787227824,-90.6610669228464,-96.6309257610275,-102.593994710011,-108.551548021646,-114.504634079544,-120.45411043458
-9.93939393939394,-8.16292959943903,-15.7234968810043,-22.8727887251383,-29.6222253198816,-36.0604660606255,-42.3140551443722,-48.469475610277,-54.5694232731716,-60.633582591038,-66.6718567904121,-72.6900927440543,-78.6923101537145,-84.681562236395,-90.6602864169068,-96.6304668990797,-102.593726866751,-108.551392604527,-114.504544334175,-120.454058812616
-9.81818181818182,-8.02876564116473,-15.4162810319459,-22.272727933143,-28.6389770590776,-34.7129607680656,-40.6596526029821,-46.553405220501,-52.4223861798536,-58.2777959159173,-64.1247146810713,-69.9657918644751,-75.802576434431,-81.6360540651382,-87.4668926951818,-93.2955677643114,-99.122431686991,-104.947754818151,-110.771750721605,-116.59459231878
-9.6969696969697,-7.9290953283135,-15.2644907410379,-22.1324350008069,-28.5474629222644,-34.6596292230964,-40.6263380200474,-46.530103541144,-52.4046669885856,-58.2636718550998,-64.1131813580582,-69.9562551829821,-75.794633972351,-81.6294081000178,-87.4613119811681,-93.2908680650656,-99.1184641676219,-104.944398206366,-110.768905588805,-116.592176730124
-9.57575757575758,-7.81833841558121,-15.0747469617334,-21.9294061608126,-28.396441017375,-34.5688929040821,-40.5745454319552,-46.4990911888331,-52.3843338897974,-58.2489653006226,-64.1015959345926,-69.9465170582029,-75.7860723367797,-81.6216570726126,-87.4541656683191,-93.2842073854581,-99.1122183650986,-104.93852381608,-110.763374573752,-116.58696964265
-9.45454545454546,-7.69341184778727,-14.8245961265718,-21.5300015062035,-27.8452840646688,-33.8980431957951,-39.8188654430774,-45.6807317022282,-51.5155139914823,-57.3365017505844,-63.1495136527684,-68.9573333541298,-74.76143121893,-80.5626595224751,-86.3615530848482,-92.1584701691456,-97.9536640861618,-103.747322346173,-109.539589408149,-115.33058054448
-9.33333333333333,-7.58191531689371,-14.6425220322224,-21.331835460395,-27.6776526872058,-33.7696728903924,-39.718189781917,-45.5965397165037,-51.441170535942,-57.2685495870865,-63.0861671405286,-68.8976237521867,-74.7047882450378,-80.5087145363475,-86.3100462379413,-92.1092052858374,-97.9064855531882,-103.702102374642,-109.496220382048,-115.288970017666
-9.21212121212121,-7.46554739456328,-14.432078658396,-21.0725646188639,-27.4247915644177,-33.551292886532,-39.533325387078,-45.4349127520146,-51.2938335050038,-57.1297396855541,-62.9525514330813,-68.7673695579891,-74.5769245822715,-80.3827509424395,-86.1857556237265,-91.9865021591273,-97.7853580835413,-103.582574640994,-109.378331558471,-115.172763092228
-9.09090909090909,-7.35111915396554,-14.2311695404599,-20.805711284486,-27.1148922587891,-33.211300324763,-39.1645334214944,-45.033556807753,-50.8557304807481,-56.6515857718393,-62.4318709251974,-68.2022208345169,-73.9656630217234,-79.7238776344433,-85.4778267301231,-91.2280747501775,-96.9749569675022,-102.718671366835,-108.459330772445,-114.196993644419
-8.96969696969697,-7.22642225228046,-13.999226598954,-20.4730095893093,-26.6864155431793,-32.6897082841526,-38.5495315008407,-44.322898968383,-50.046298530442,-55.7399195091589,-61.4143754933127,-67.0752688127132,-72.7256722668111,-78.3673828680606,-84.0015451704281,-89.6289633772284,-95.250259761391,-100.865955916747,-106.476514425199,-112.082359845791
